Found 265 batch files (190 logical batches, 32 multi-part):
  batch-1-part-3.json: 32 nodes, 96 edges
  batch-1-part-2.json: 28 nodes, 100 edges
  batch-1-part-1.json: 31 nodes, 98 edges
  batch-1-part-4.json: 28 nodes, 100 edges
  batch-2-part-4.json: 16 nodes, 94 edges
  batch-2-part-3.json: 17 nodes, 108 edges
  batch-2-part-1.json: 18 nodes, 91 edges
  batch-2-part-2.json: 20 nodes, 122 edges
  batch-3-part-1.json: 33 nodes, 56 edges
  batch-3-part-2.json: 43 nodes, 142 edges
  batch-4-part-4.json: 20 nodes, 105 edges
  batch-4-part-1.json: 31 nodes, 129 edges
  batch-4-part-2.json: 21 nodes, 103 edges
  batch-4-part-3.json: 17 nodes, 65 edges
  batch-5-part-1.json: 31 nodes, 67 edges
  batch-5-part-2.json: 29 nodes, 107 edges
  batch-5-part-3.json: 45 nodes, 143 edges
  batch-6-part-1.json: 59 nodes, 154 edges
  batch-6-part-2.json: 22 nodes, 35 edges
  batch-7-part-2.json: 52 nodes, 131 edges
  batch-7-part-3.json: 37 nodes, 102 edges
  batch-7-part-4.json: 9 nodes, 43 edges
  batch-7-part-1.json: 35 nodes, 172 edges
  batch-8-part-3.json: 26 nodes, 114 edges
  batch-8-part-1.json: 33 nodes, 90 edges
  batch-8-part-2.json: 38 nodes, 117 edges
  batch-9-part-2.json: 27 nodes, 116 edges
  batch-9-part-1.json: 31 nodes, 103 edges
  batch-9-part-3.json: 21 nodes, 127 edges
  batch-10-part-1.json: 25 nodes, 102 edges
  batch-10-part-6.json: 12 nodes, 57 edges
  batch-10-part-4.json: 13 nodes, 62 edges
  batch-10-part-3.json: 25 nodes, 99 edges
  batch-10-part-2.json: 24 nodes, 131 edges
  batch-10-part-5.json: 39 nodes, 179 edges
  batch-11-part-1.json: 43 nodes, 113 edges
  batch-11-part-2.json: 29 nodes, 62 edges
  batch-12-part-3.json: 24 nodes, 90 edges
  batch-12-part-2.json: 33 nodes, 106 edges
  batch-12-part-1.json: 35 nodes, 122 edges
  batch-13-part-3.json: 44 nodes, 118 edges
  batch-13-part-2.json: 36 nodes, 99 edges
  batch-13-part-1.json: 33 nodes, 125 edges
  batch-13-part-4.json: 18 nodes, 55 edges
  batch-14-part-2.json: 29 nodes, 75 edges
  batch-14-part-1.json: 51 nodes, 159 edges
  batch-15-part-4.json: 22 nodes, 108 edges
  batch-15-part-1.json: 23 nodes, 108 edges
  batch-15-part-2.json: 22 nodes, 109 edges
  batch-15-part-3.json: 26 nodes, 105 edges
  batch-16-part-4.json: 40 nodes, 120 edges
  batch-16-part-1.json: 37 nodes, 120 edges
  batch-16-part-3.json: 40 nodes, 119 edges
  batch-16-part-5.json: 35 nodes, 119 edges
  batch-16-part-6.json: 2 nodes, 4 edges
  batch-16-part-2.json: 40 nodes, 161 edges
  batch-17.json: 34 nodes, 110 edges
  batch-18.json: 34 nodes, 96 edges
  batch-19.json: 34 nodes, 88 edges
  batch-20.json: 34 nodes, 75 edges
  batch-21.json: 35 nodes, 70 edges
  batch-22.json: 45 nodes, 111 edges
  batch-23.json: 48 nodes, 86 edges
  batch-24.json: 36 nodes, 57 edges
  batch-25-part-2.json: 36 nodes, 25 edges
  batch-25-part-1.json: 43 nodes, 38 edges
  batch-26-part-1.json: 25 nodes, 66 edges
  batch-26-part-2.json: 26 nodes, 118 edges
  batch-27-part-3.json: 18 nodes, 88 edges
  batch-27-part-1.json: 17 nodes, 90 edges
  batch-27-part-4.json: 17 nodes, 90 edges
  batch-27-part-2.json: 15 nodes, 88 edges
  batch-28-part-2.json: 15 nodes, 47 edges
  batch-28-part-6.json: 48 nodes, 144 edges
  batch-28-part-1.json: 26 nodes, 69 edges
  batch-28-part-3.json: 18 nodes, 36 edges
  batch-28-part-4.json: 32 nodes, 114 edges
  batch-28-part-5.json: 36 nodes, 108 edges
  batch-29-part-2.json: 11 nodes, 103 edges
  batch-29-part-1.json: 15 nodes, 83 edges
  batch-29-part-3.json: 12 nodes, 85 edges
  batch-30-part-1.json: 25 nodes, 108 edges
  batch-30-part-2.json: 17 nodes, 53 edges
  batch-30-part-3.json: 23 nodes, 119 edges
  batch-31-part-2.json: 9 nodes, 84 edges
  batch-31-part-5.json: 14 nodes, 83 edges
  batch-31-part-4.json: 8 nodes, 83 edges
  batch-31-part-1.json: 9 nodes, 84 edges
  batch-31-part-3.json: 11 nodes, 83 edges
  batch-32.json: 45 nodes, 91 edges
  batch-33-part-1.json: 25 nodes, 55 edges
  batch-33-part-2.json: 38 nodes, 91 edges
  batch-34-part-2.json: 20 nodes, 98 edges
  batch-34-part-1.json: 26 nodes, 154 edges
  batch-34-part-5.json: 14 nodes, 60 edges
  batch-34-part-3.json: 26 nodes, 123 edges
  batch-34-part-4.json: 29 nodes, 116 edges
  batch-35-part-2.json: 10 nodes, 53 edges
  batch-35-part-3.json: 11 nodes, 57 edges
  batch-35-part-4.json: 34 nodes, 74 edges
  batch-35-part-1.json: 9 nodes, 53 edges
  batch-36-part-1.json: 32 nodes, 75 edges
  batch-36-part-2.json: 30 nodes, 61 edges
  batch-37-part-1.json: 28 nodes, 104 edges
  batch-37-part-2.json: 32 nodes, 272 edges
  batch-38-part-2.json: 22 nodes, 124 edges
  batch-38-part-3.json: 22 nodes, 79 edges
  batch-38-part-4.json: 17 nodes, 63 edges
  batch-38-part-1.json: 24 nodes, 178 edges
  batch-39-part-1.json: 21 nodes, 39 edges
  batch-39-part-3.json: 56 nodes, 97 edges
  batch-39-part-2.json: 42 nodes, 116 edges
  batch-40.json: 30 nodes, 67 edges
  batch-41.json: 26 nodes, 55 edges
  batch-42.json: 58 nodes, 102 edges
  batch-43.json: 52 nodes, 76 edges
  batch-44.json: 28 nodes, 55 edges
  batch-45-part-1.json: 32 nodes, 91 edges
  batch-45-part-2.json: 28 nodes, 64 edges
  batch-46.json: 50 nodes, 73 edges
  batch-47.json: 49 nodes, 124 edges
  batch-48-part-1.json: 17 nodes, 45 edges
  batch-48-part-2.json: 22 nodes, 97 edges
  batch-49.json: 19 nodes, 30 edges
  batch-50.json: 57 nodes, 92 edges
  batch-51.json: 8 nodes, 8 edges
  batch-52.json: 26 nodes, 42 edges
  batch-53.json: 16 nodes, 27 edges
  batch-54.json: 4 nodes, 3 edges
  batch-55.json: 20 nodes, 24 edges
  batch-56.json: 3 nodes, 0 edges
  batch-57.json: 3 nodes, 3 edges
  batch-58.json: 16 nodes, 13 edges
  batch-59.json: 6 nodes, 0 edges
  batch-60.json: 9 nodes, 6 edges
  batch-61.json: 3 nodes, 2 edges
  batch-62.json: 3 nodes, 3 edges
  batch-63.json: 4 nodes, 0 edges
  batch-64.json: 3 nodes, 3 edges
  batch-65.json: 5 nodes, 4 edges
  batch-66.json: 3 nodes, 2 edges
  batch-67.json: 6 nodes, 5 edges
  batch-68.json: 4 nodes, 5 edges
  batch-69.json: 3 nodes, 0 edges
  batch-70.json: 4 nodes, 0 edges
  batch-71.json: 4 nodes, 4 edges
  batch-72.json: 9 nodes, 0 edges
  batch-73.json: 3 nodes, 0 edges
  batch-74.json: 7 nodes, 0 edges
  batch-75.json: 7 nodes, 0 edges
  batch-76.json: 7 nodes, 0 edges
  batch-77.json: 3 nodes, 2 edges
  batch-78.json: 5 nodes, 3 edges
  batch-79.json: 8 nodes, 6 edges
  batch-80.json: 3 nodes, 0 edges
  batch-81.json: 3 nodes, 3 edges
  batch-82.json: 6 nodes, 7 edges
  batch-83.json: 9 nodes, 9 edges
  Warning: skipping batch-84.json: Expecting ',' delimiter: line 56 column 72 (char 2448)
  batch-85.json: 4 nodes, 5 edges
  batch-86.json: 4 nodes, 3 edges
  batch-87.json: 34 nodes, 21 edges
  batch-88.json: 26 nodes, 4 edges
  batch-89.json: 25 nodes, 17 edges
  batch-90.json: 25 nodes, 7 edges
  batch-91.json: 25 nodes, 8 edges
  batch-92.json: 25 nodes, 11 edges
  batch-93.json: 25 nodes, 10 edges
  batch-94.json: 25 nodes, 1 edges
